Doi;Title;Digital Library;Year;Number of Citations;Url
https://doi.org/10.1109/JPROC.2014.2322103;Trustworthiness of medical devices and body area networks;Scopus;2014;74;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904855433&doi=10.1109%2fJPROC.2014.2322103&partnerID=40&md5=f19b2792e4d5314be321aec1e0e6c6c7
https://doi.org/10.1109/INFOCOM.2014.6848216;Sonar inside your body: Prototyping ultrasonic intra-body sensor networks;Scopus;2014;38;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904431109&doi=10.1109%2fINFOCOM.2014.6848216&partnerID=40&md5=47f3edd969c7b4b348fb996ccfcc3a23
https://doi.org/10.1109/JBHI.2013.2282864;Link-state-estimation-based transmission power control in wireless body area networks;Scopus;2014;41;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904162675&doi=10.1109%2fJBHI.2013.2282864&partnerID=40&md5=682efbbbeb86b31e24187cdbc4bdd0af
https://doi.org/10.1109/TMC.2013.120;Power efficient ultra wide band based wireless body area networks with narrowband feedback path;Scopus;2014;27;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904161376&doi=10.1109%2fTMC.2013.120&partnerID=40&md5=eb5eff100f5e2175d7680b6b46e16b7e
https://doi.org/10.1109/JSEN.2014.2314477;Node position effect on link reliability for body centric wireless network running applications;Scopus;2014;22;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903769426&doi=10.1109%2fJSEN.2014.2314477&partnerID=40&md5=3bd0c3500dc76d49851b413303a89bd6
https://doi.org/10.3233/978-1-61499-393-3-161;Embedded sensor systems for health-providing the tools in future healthcare;Scopus;2014;5;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903718600&doi=10.3233%2f978-1-61499-393-3-161&partnerID=40&md5=22ee8118d97a18cbc741028400893a62
https://doi.org/10.1155/2014/627689;ZEQoS: A new energy and QoS-aware routing protocol for communication of sensor devices in healthcare system;Scopus;2014;29;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903625018&doi=10.1155%2f2014%2f627689&partnerID=40&md5=01711b6ab2c41e73d91aee0d5cd01e01
https://doi.org/10.1109/MWC.2014.6812295;Congestion control for differentiated healthcare service delivery in emerging heterogeneous wireless body area networks;Scopus;2014;30;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903624805&doi=10.1109%2fMWC.2014.6812295&partnerID=40&md5=db4b6773e84adcc05dd5015b0c4e76e1
https://doi.org/10.1109/ISMICT.2014.6825223;Performance study of the enhancement schemes for Baseline MAC of Body Area networks;Scopus;2014;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903280993&doi=10.1109%2fISMICT.2014.6825223&partnerID=40&md5=48bbd6719cdc1140a4e79cfd7764b119
https://doi.org/10.1016/j.procs.2014.05.509;A novel analytical model for provisioning QoS in body area sensor networks;Scopus;2014;7;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902673818&doi=10.1016%2fj.procs.2014.05.509&partnerID=40&md5=a2a341d2777fdd62cc0f0b166c466024
https://doi.org/10.1016/j.procs.2014.05.508;Analyzing the impact of body postures and power on communication in WBAN;Scopus;2014;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902658629&doi=10.1016%2fj.procs.2014.05.508&partnerID=40&md5=860957a5e3f1727d05850910c7e473cd
;ICORES 2014 - Proceedings of the 3rd International Conference on Operations Research and Enterprise Systems;Scopus;2014;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902313083&partnerID=40&md5=531e9a926f465abc080ade1481eaf1cc
https://doi.org/10.1109/NTMS.2014.6814014;Design and implementation of a sustainable wireless BAN platform for remote monitoring of workers health care in harsh environments;Scopus;2014;6;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901459947&doi=10.1109%2fNTMS.2014.6814014&partnerID=40&md5=cab994acb6cbf053b7644410a9399962
https://doi.org/10.1109/JICTEE.2014.6804072;Evaluating cooperative diversity-based WBAN by using STBC with pre-coding and relay selection;Scopus;2014;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901044799&doi=10.1109%2fJICTEE.2014.6804072&partnerID=40&md5=e988e1afd69691f2952f5edf03d7eab9
https://doi.org/10.1155/2014/676312;Thermal-aware multiconstrained intrabody QoS routing for wireless body area networks;Scopus;2014;42;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897475135&doi=10.1155%2f2014%2f676312&partnerID=40&md5=9f06c538b4197a0bc68213c0ee2919df
https://doi.org/10.1109/JBHI.2013.2278217;A distributed scheme to manage the dynamic coexistence of IEEE 802.15.4-based health-monitoring WBANs;Scopus;2014;34;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892565933&doi=10.1109%2fJBHI.2013.2278217&partnerID=40&md5=9e886561dff1ce82e185f4e768f366ae
https://doi.org/10.1109/MWC.2013.6664473;Cognitive antenna selection relay for green heterogeneous healthcare networks;Scopus;2013;5;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888615696&doi=10.1109%2fMWC.2013.6664473&partnerID=40&md5=7e3e3f549876ccf0963028b516668f9a
https://doi.org/10.1007/978-3-642-37893-5_22;Theoretical analysis and modeling of link adaptation schemes in body area networks;Scopus;2013;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897782329&doi=10.1007%2f978-3-642-37893-5_22&partnerID=40&md5=63d0a1e3983c0cfc6daaaaf89a0326ec
https://doi.org/10.1109/MILCOM.2013.233;Achieving energy efficient transmission in wireless body area networks for the physiological monitoring of military soldiers;Scopus;2013;8;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897731657&doi=10.1109%2fMILCOM.2013.233&partnerID=40&md5=d0a933b116507d847640f102deb401e7
